<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,20180220,105000,143.6200000,144.2500000,143.2300000,144.2500000,4091110
GAZP,5,20180220,105500,144.2100000,144.2900000,143.4000000,143.5100000,2600180
GAZP,5,20180220,110000,143.5200000,143.5800000,142.8200000,143.2500000,2350780
GAZP,5,20180220,110500,143.2500000,143.3000000,142.7100000,142.9500000,3107060
GAZP,5,20180220,111000,142.9700000,143.5500000,142.8100000,143.1200000,1750350
GAZP,5,20180220,111500,143.1600000,143.1700000,142.9000000,142.9500000,1047760
GAZP,5,20180220,112000,142.9600000,143.0000000,142.3900000,142.4400000,1074550
GAZP,5,20180220,112500,142.4700000,142.5800000,142.2500000,142.4200000,1013960
GAZP,5,20180220,113000,142.4200000,142.4300000,142.0000000,142.1400000,1911450
GAZP,5,20180220,113500,142.1400000,142.9900000,142.0500000,142.6300000,1835970
GAZP,5,20180220,114000,142.6500000,142.7300000,142.5000000,142.5200000,216000
GAZP,5,20180220,114500,142.5300000,142.5400000,142.2000000,142.3600000,170210
GAZP,5,20180220,115000,142.4200000,142.6000000,142.3000000,142.3100000,156280
GAZP,5,20180220,115500,142.3100000,142.4100000,142.1000000,142.1200000,457130
GAZP,5,20180220,120000,142.1500000,142.5900000,142.1200000,142.1800000,313210
GAZP,5,20180220,120500,142.2100000,142.3100000,142.0400000,142.2600000,282030
GAZP,5,20180220,121000,142.2300000,142.5900000,142.2300000,142.5200000,143940
GAZP,5,20180220,121500,142.5200000,142.5900000,142.3800000,142.4900000,115670
GAZP,5,20180220,122000,142.4900000,142.5000000,142.2300000,142.3000000,355720
GAZP,5,20180220,122500,142.3500000,142.3500000,142.1300000,142.3000000,254700
GAZP,5,20180220,123000,142.3000000,142.3500000,142.1700000,142.1800000,148170
GAZP,5,20180220,123500,142.1800000,142.2500000,142.0500000,142.2500000,255300
GAZP,5,20180220,124000,142.2000000,142.3800000,142.1500000,142.3100000,129870
GAZP,5,20180220,124500,142.3300000,142.3500000,142.1000000,142.1100000,344570
GAZP,5,20180220,125000,142.1700000,142.2100000,142.1000000,142.1000000,161660
GAZP,5,20180220,125500,142.1800000,142.2500000,142.1000000,142.2100000,97390
GAZP,5,20180220,130000,142.2100000,142.2300000,141.8100000,141.8200000,903480
GAZP,5,20180220,130500,141.8300000,142.0600000,141.8200000,141.9400000,261650
GAZP,5,20180220,131000,141.9500000,141.9500000,141.4800000,141.4800000,915810
GAZP,5,20180220,131500,141.4800000,141.6300000,141.3300000,141.5800000,387850
GAZP,5,20180220,132000,141.5900000,141.9000000,141.5000000,141.8500000,313420
GAZP,5,20180220,132500,141.8100000,141.9600000,141.6300000,141.8800000,269890
GAZP,5,20180220,133000,141.8900000,141.9000000,141.6100000,141.8000000,96270
GAZP,5,20180220,133500,141.8500000,141.9200000,141.4900000,141.5200000,278160
GAZP,5,20180220,134000,141.5200000,141.7200000,141.2600000,141.3700000,507860
GAZP,5,20180220,134500,141.3700000,141.4600000,141.3100000,141.4400000,176670
GAZP,5,20180220,135000,141.4500000,141.6900000,141.3100000,141.4300000,270010
GAZP,5,20180220,135500,141.4300000,141.6200000,141.4000000,141.5600000,68140
GAZP,5,20180220,140000,141.5800000,141.6300000,141.3300000,141.4600000,94000
GAZP,5,20180220,140500,141.4800000,141.5400000,141.4200000,141.5100000,74350
GAZP,5,20180220,141000,141.5100000,141.5100000,141.3100000,141.3900000,84080
GAZP,5,20180220,141500,141.3400000,141.4500000,141.2500000,141.2500000,480420
GAZP,5,20180220,142000,141.2600000,141.3100000,141.0400000,141.1800000,356910
GAZP,5,20180220,142500,141.1300000,141.1800000,140.6000000,140.6100000,851360
GAZP,5,20180220,143000,140.6700000,140.8700000,140.5700000,140.6800000,331640
GAZP,5,20180220,143500,140.6900000,141.1500000,140.3200000,141.0700000,1609450
GAZP,5,20180220,144000,141.0500000,141.1900000,140.8100000,141.1700000,313200
GAZP,5,20180220,144500,141.1500000,141.1500000,140.7100000,140.9000000,358550
GAZP,5,20180220,145000,140.9500000,141.7800000,140.9500000,141.7200000,633630
GAZP,5,20180220,145500,141.6700000,141.7700000,141.4900000,141.7700000,431960
GAZP,5,20180220,150000,141.7700000,142.2000000,141.5800000,141.8200000,941660
GAZP,5,20180220,150500,141.7800000,141.8300000,141.5200000,141.6300000,225770
GAZP,5,20180220,151000,141.6900000,141.7800000,141.5200000,141.5400000,82980
GAZP,5,20180220,151500,141.5800000,141.5800000,141.2500000,141.5000000,232120
GAZP,5,20180220,152000,141.5000000,141.6300000,141.4100000,141.4700000,39430
GAZP,5,20180220,152500,141.4700000,141.5600000,141.4300000,141.5000000,40440
GAZP,5,20180220,153000,141.5000000,141.7200000,141.4900000,141.6300000,163600
GAZP,5,20180220,153500,141.7000000,141.8700000,141.6200000,141.6200000,134210
GAZP,5,20180220,154000,141.7200000,141.7200000,141.5000000,141.5100000,47750
GAZP,5,20180220,154500,141.5100000,141.6900000,141.5100000,141.6900000,32620
GAZP,5,20180220,155000,141.6900000,141.6900000,141.5800000,141.6400000,48220
GAZP,5,20180220,155500,141.6300000,141.6500000,141.5500000,141.6300000,25170
GAZP,5,20180220,160000,141.6300000,141.9000000,141.5300000,141.7200000,258780
